id;lokaal;beschrijving;Voorzieningen
;GRZAAL;;
;H003;bso;
;H029;wet;
;H101;bio;
;H102;verg;
;H112;KLCa;
;H113;KLCb;
;H127;gesch;
;H201;labo;
;H204;;
;H209;;
;H210;;
;H211;;
;H214;crea;
;H215;crea;
;H216;com;
;H221;crea;
;H222;crea;
;H224;com;
;H302;;
;H303;com;
;H305;;
;H317;com;
;H322;;
;H323;;
;H324;;
;H402;pav;
;H411;godsd;
;HLC;;
;K003;aardr;
;K005;;
;K103;;
;K105;;
;K106;;
;K107;;
;K108;;
;K109;;
;K204;fit;
;K205;;
;K206;;
;K209;talen;
;M101;;
;M102;;
;M103;;
;M104;com;
;M105;com;
;M106;com;
;M107;com;
;M201;;
;M203;jz;
;M204;verz;
;N004;kook;
;N005;;
;N006;to;
;N007;;
;N103;;
;N104;po;
;N105;;
;N106;;
;N108;;
;N110;;
;PALAES;;
;T101;;
;TURNZ;;
;WINKE;;
